name,prices,sale_tags,url
Asics Gel Resolution 8 Clay White/Mako Blue Men's Shoes,"[112.0, 140.0, 0]","['0', '0', 1]",https://www.tenniswarehouse-europe.com/Asics_Gel_Resolution_8_Clay_White_Mako_Blue_Mens_Shoes/descpageMSASICSP-AMR8CWM-EN.html
Asics Gel Resolution 8 Clay Blue/White Men's Shoes,"[112.0, 140.0, 0]","['0', '0', 1]",https://www.tenniswarehouse-europe.com/Asics_Gel_Resolution_8_Clay_Blue_White_Mens_Shoes/descpageMSASICSP-AMR8CFB-EN.html
Asics Gel Resolution 8 Clay Red/Black Men's Shoes,"[126.0, 140.0, 0]","['0', '0', 1]",https://www.tenniswarehouse-europe.com/Asics_Gel_Resolution_8_Clay_Red_Black_Mens_Shoes/descpageMSASICSP-AMR8CRB-EN.html
New Balance 796 Black/Red Men's Shoes,"[79.91, 90.0, 0]","0,0,0",https://www.tenniswarehouse-europe.com/New_Balance_796_Black_Red_Mens_Shoes/descpageMSNBT-NM796BR-EN.html
New Balance Lav Fresh Foam Yellow/Orange Men's Shoe,"[99.89, 145.0, 0]","['0', '0', 1]",https://www.tenniswarehouse-europe.com/New_Balance_Lav_Fresh_Foam_Yellow_Orange_Mens_Shoe/descpageMSNBT-NLAVFYO-EN.html
New Balance 996V4 Black/Blue Men's Shoes,"[94.9, 135.0, 0]","0,0,0",https://www.tenniswarehouse-europe.com/New_Balance_996V4_Black_Blue_Mens_Shoes/descpageMSNBT-NM996BB-EN.html
New Balance 996V4 Peach/Yellow Men's Shoes,"[94.9, 135.0, 0]","['0', '0', 1]",https://www.tenniswarehouse-europe.com/New_Balance_996V4_Peach_Yellow_Mens_Shoes/descpageMSNBT-NB996PY-EN.html
Babolat Pure Strike Junior 26 Racket,"[74.9, 94.95, 0]","0,0,0",https://www.tenniswarehouse-europe.com/Babolat_Pure_Strike_Junior_26_Racket/descpageQBA-BRPS26-EN.html
Babolat Aero Junior 26 Racket,"[59.9, 69.95, 0]","['0', '0', 1]",https://www.tenniswarehouse-europe.com/Babolat_Aero_Junior_26_Racket/descpageRCQBA-BAJR26-EN.html
Babolat Nadal Junior 26 Racket,"[31.46, 37.5, 0]","0,0,0",https://www.tenniswarehouse-europe.com/Babolat_Nadal_Junior_26_Racket/descpageRCQBA-BNJ26R-EN.html
Babolat Pure Drive 25 Junior Racket,"[69.9, 95.95, 0]","['0', '0', 1]",https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_25_Junior_Racket_/descpageRCQBA-BRPJU-EN.html
Babolat Pure Strike Junior 25 Racket,"[79.91, 89.95, 0]","0,0,0",https://www.tenniswarehouse-europe.com/Babolat_Pure_Strike_Junior_25_Racket/descpageRCQBA-BRPS25-EN.html
Babolat Jet Mach III AC Green/Purple Men's Shoes,"[124.91, 140.0, 0]","[1, '0', '0']",https://www.tenniswarehouse-europe.com/Babolat_Jet_Mach_III_AC_Green_Purple_Mens_Shoes/descpageMSQBA-BMJM3GP-EN.html
Asics Gel Resolution 8 White/Mako Blue Men's Shoes,"[119.0, 140.0, 0]","['0', '0', 1]",https://www.tenniswarehouse-europe.com/Asics_Gel_Resolution_8_White_Mako_Blue_Mens_Shoes/descpageMSASICSP-AMGR8WM-EN.html
Asics Gel Resolution 8 Blue/White Men's Shoes,"[119.0, 140.0, 0]","['0', '0', 1]",https://www.tenniswarehouse-europe.com/Asics_Gel_Resolution_8_Blue_White_Mens_Shoes/descpageMSASICSP-AMGR8FB-EN.html
Asics Court FF 2 Novak Red/White Men's Shoes,"[180.0, 0, 0]","[1, '0', '0']",https://www.tenniswarehouse-europe.com/Asics_Court_FF_2_Novak_Red_White_Mens_Shoes/descpageMSASICSP-ACFFCW-EN.html
KSwiss Ultrashot 3 White/Neon Green Men's Shoes,"[143.89, 179.99, 0]","0,0,0",https://www.tenniswarehouse-europe.com/KSwiss_Ultrashot_3_White_Neon_Green_Mens_Shoes/descpageMSKSWISS-MKU3WNG-EN.html
New Balance 696V4 White/Red Men's Shoes,"[67.9, 75.0, 0]","[1, '0', '0']",https://www.tenniswarehouse-europe.com/New_Balance_696V4_White_Red_Mens_Shoes/descpageMSNBT-NM696WR-EN.html
Babolat Pure Aero Junior 25 Racket,"[89.9, 104.95, 0]","0,0,0",https://www.tenniswarehouse-europe.com/Babolat_Pure_Aero_Junior_25_Racket/descpageRCQBA-BPARJ25-EN.html
Babolat Pure Drive 25 Junior Racket Blue/Pink,"[75.9, 95.95, 0]","['0', '0', 1]",https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_25_Junior_Racket_Blue_Pink/descpageRCQBA-BRPJUW-EN.html
Babolat Drive 25 Junior Racket,"[53.9, 59.95, 0]","0,0,0",https://www.tenniswarehouse-europe.com/Babolat_Drive_25_Junior_Racket_/descpageRCQBA-BRDJU-EN.html
Babolat Drive 25 Junior Racket Pink/White,"[53.9, 59.95, 0]","0,0,0",https://www.tenniswarehouse-europe.com/Babolat_Drive_25_Junior_Racket_Pink_White/descpageRCQBA-BRDJUW-EN.html
Babolat Nadal Junior 25 Racket,"[34.89, 37.5, 0]","0,0,0",https://www.tenniswarehouse-europe.com/Babolat_Nadal_Junior_25_Racket/descpageRCQBA-BNJ25R-EN.html
Head Sprint Pro 3.0 Clay Blue/Red Men's Shoes,"[124.91, 150.0, 0]","0,0,0",https://www.tenniswarehouse-europe.com/Head_Sprint_Pro_30_Clay_Blue_Red_Mens_Shoes/descpageMSHEAD-HMSP3BR-EN.html
Babolat Propulse Fury AC Black/White Men's Shoes,"[119.9, 140.0, 0]","0,0,0",https://www.tenniswarehouse-europe.com/Babolat_Propulse_Fury_AC_Black_White_Mens_Shoes/descpageMSQBA-BMPFBWH-EN.html
Babolat Jet Tere AC Blue/Red Men's Shoes,"[89.9, 100.0, 0]","0,0,0",https://www.tenniswarehouse-europe.com/Babolat_Jet_Tere_AC_Blue_Red_Mens_Shoes/descpageMSQBA-BMJTBL-EN.html
Babolat Jet Mach III Clay Green/Purple Men's Shoes,"[124.91, 140.0, 0]","[1, '0', '0']",https://www.tenniswarehouse-europe.com/Babolat_Jet_Mach_III_Clay_Green_Purple_Mens_Shoes/descpageMSQBA-BMJM3CG-EN.html
Babolat Jet Mach III Clay Black/Gold Men's Shoes,"[119.9, 140.0, 0]","[1, '0', '0']",https://www.tenniswarehouse-europe.com/Babolat_Jet_Mach_III_Clay_Black_Gold_Mens_Shoes/descpageMSQBA-BMJM3CB-EN.html
Asics Court FF 2 Novak Clay White/Kale Men's Shoes,"[171.0, 180.0, 0]","['0', '0', 1]",https://www.tenniswarehouse-europe.com/Asics_Court_FF_2_Novak_Clay_White_Kale_Mens_Shoes/descpageMSASICSP-ACFFCWK-EN.html
Asics Court FF 2 Novak White/Blue Men's Shoes,"[171.0, 180.0, 0]","['0', '0', 1]",https://www.tenniswarehouse-europe.com/Asics_Court_FF_2_Novak_White_Blue_Mens_Shoes/descpageMSASICSP-ACFFNWB-EN.html
Asics Court FF 2 White/Mako Blue Men's Shoes,"[161.99, 180.0, 0]","['0', '0', 1]",https://www.tenniswarehouse-europe.com/Asics_Court_FF_2_White_Mako_Blue_Mens_Shoes/descpageMSASICSP-AMCFFWM-EN.html
Asics Court FF 2 Clay White/Mako Blue Men's Shoes,"[153.0, 180.0, 0]","['0', '0', 1]",https://www.tenniswarehouse-europe.com/Asics_Court_FF_2_Clay_White_Mako_Blue_Mens_Shoes/descpageMSASICSP-ACFFCWM-EN.html
Asics Court FF 2 Clay Blue/Amber Men's Shoes,"[153.0, 180.0, 0]","['0', '0', 1]",https://www.tenniswarehouse-europe.com/Asics_Court_FF_2_Clay_Blue_Amber_Mens_Shoes/descpageMSASICSP-ACFFCBA-EN.html
Diadora Speed Blushield 5 Clay Yellow/Black Men's Shoe,"[111.9, 140.0, 0]","0,0,0",https://www.tenniswarehouse-europe.com/Diadora_Speed_Blushield_5_Clay_Yellow_Black_Mens_Shoe/descpageMSDIAT-DMSB5YB-EN.html
Lotto Raptor Hyperpulse 100 Clay White/Red Men's Shoes,"[144.89, 160.0, 0]","[1, '0', '0']",https://www.tenniswarehouse-europe.com/Lotto_Raptor_Hyperpulse_100_Clay_White_Red_Mens_Shoes/descpageMSLOTTOT-LMRHCWR-EN.html
KSwiss Bigshot Light 4 Black/Neon Green Men's Shoes,"[79.91, 109.99, 0]","0,0,0",https://www.tenniswarehouse-europe.com/KSwiss_Bigshot_Light_4_Black_Neon_Green_Mens_Shoes/descpageMSKSWISS-MKBL4BN-EN.html
K-Swiss Express Light 2 White/Blue Men's Shoes,"[79.91, 99.99, 0]","0,0,0",https://www.tenniswarehouse-europe.com/K-Swiss_Express_Light_2_White_Blue_Mens_Shoes/descpageMSKSWISS-KSMEL2W-EN.html
KSwiss Hypercourt Express 2 Clay Black/Blue Men's Shoes,"[111.9, 139.99, 0]","0,0,0",https://www.tenniswarehouse-europe.com/KSwiss_Hypercourt_Express_2_Clay_Black_Blue_Mens_Shoes/descpageMSKSWISS-MKHE2SS-EN.html
KSwiss Hypercourt Express 2 White/Blue/Neon Men's Shoes,"[111.9, 139.99, 0]","0,0,0",https://www.tenniswarehouse-europe.com/KSwiss_Hypercourt_Express_2_White_Blue_Neon_Mens_Shoes/descpageMSKSWISS-MKHE2WN-EN.html
K-Swiss Hypercourt Express 2 Clay White/Bk Men's Shoes,"[97.9, 139.99, 0]","0,0,0",https://www.tenniswarehouse-europe.com/K-Swiss_Hypercourt_Express_2_Clay_White_Bk_Mens_Shoes/descpageMSKSWISS-KSHEWHB-EN.html
