name,prices,sale_tag,url
babolat strike 24 junior racquet,"[48.91, 54.95, 0]",,https://www.tenniswarehouse-europe.com/Babolat_Strike_24_Junior_Racket_/descpageRCQBA-BRS24J-EN.html
babolat drive 23 junior racquet pink/white,"[44.9, 49.95, 0]",,https://www.tenniswarehouse-europe.com/Babolat_Drive_23_Junior_Racket_Pink_White/descpageRCQBA-BRD23P-EN.html
babolat drive 23 junior racquet,"[44.9, 49.95, 0]",,https://www.tenniswarehouse-europe.com/Babolat_Drive_23_Junior_Racket_/descpageRCQBA-BRD23-EN.html
babolat nadal junior 23 racquet,"[24.89, 27.5, 0]",,https://www.tenniswarehouse-europe.com/Babolat_Nadal_Junior_23_Racket/descpageRCQBA-BNJ23R-EN.html
babolat ballfighter 23 junior racquet,"[23.89, 24.95, 0]",,https://www.tenniswarehouse-europe.com/Babolat_Ballfighter_23_Junior_Racket/descpageRCQBA-BBJ23R-EN.html
diadora spd blushield fly 3 clay white/yellow mens shoe,"[107.9, 135.0, 0]",,https://www.tenniswarehouse-europe.com/Diadora_SPD_Blushield_Fly_3_Clay_White_Yellow_Mens_Shoe/descpageMSDIAT-DMSBFWY-EN.html
diadora s.shot 2 clay grey/black men's shoe,"[63.9, 80.0, 0]",,https://www.tenniswarehouse-europe.com/Diadora_SShot_2_Clay_Grey_Black_Mens_Shoe/descpageMSDIAT-DMSS2GB-EN.html
diadora speed blushield 5 ag white/black men's shoe,"[111.9, 140.0, 0]",,https://www.tenniswarehouse-europe.com/Diadora_Speed_Blushield_5_AG_White_Black_Mens_Shoe/descpageMSDIAT-DMSB5WB-EN.html
diadora speed blushield 4 ag white/blue men's shoe,"[99.89, 140.0, 0]",Sale,https://www.tenniswarehouse-europe.com/Diadora_Speed_Blushield_4_AG_White_Blue_Mens_Shoe/descpageMSDIAT-DSB4WBL-EN.html
asics gel resolution 8 red/black men's shoes,"[98.0, 140.0, 0]",Sale,https://www.tenniswarehouse-europe.com/Asics_Gel_Resolution_8_Red_Black_Mens_Shoes/descpageMSASICSP-AMGR8RB-EN.html
asics court speed ff white/mako blue men's shoes,"[114.01, 120.0, 0]",Sale,https://www.tenniswarehouse-europe.com/Asics_Court_Speed_FF_White_Mako_Blue_Mens_Shoes/descpageMSASICSP-AMCSFWM-EN.html
asics solution speed ff 2 clay amber/white men's shoes,"[105.0, 150.0, 0]",Sale,https://www.tenniswarehouse-europe.com/Asics_Solution_Speed_FF_2_Clay_Amber_White_Mens_Shoes/descpageMSASICSP-AMSSCAW-EN.html
asics solution speed ff 2 amber/white men's shoes,"[105.0, 150.0, 0]",Sale,https://www.tenniswarehouse-europe.com/Asics_Solution_Speed_FF_2_Amber_White_Mens_Shoes/descpageMSASICSP-AMSSFAW-EN.html
adidas defiant generation hazy blue/yellow men's shoe,"[69.9, 100.0, 0]",,https://www.tenniswarehouse-europe.com/adidas_Defiant_Generation_Hazy_Blue_Yellow_Mens_Shoe/descpageMSADIT-AMDGBY-EN.html
adidas defiant generation yellow/blue men's shoe,"[74.9, 100.0, 0]",,https://www.tenniswarehouse-europe.com/adidas_Defiant_Generation_Yellow_Blue_Mens_Shoe/descpageMSADIT-AMDGYG-EN.html
adidas defiant generation mia.pulco ny/pk/or men's shoe,"[69.9, 100.0, 0]",,https://www.tenniswarehouse-europe.com/adidas_Defiant_Generation_MiaPulco_Ny_Pk_Or_Mens_Shoe/descpageMSADIT-AMDGMP-EN.html
babolat b'fly 23 junior racquet,"[22.9, 24.95, 0]",,https://www.tenniswarehouse-europe.com/Babolat_BFly_23_Junior_Racket/descpageRCQBA-BBF23R-EN.html
babolat nadal junior 21 racquet,"[24.89, 27.5, 0]",,https://www.tenniswarehouse-europe.com/Babolat_Nadal_Junior_21_Racket/descpageRCQBA-BNJ21R-EN.html
babolat ballfighter 21 junior racquet,"[19.9, 22.95, 0]",,https://www.tenniswarehouse-europe.com/Babolat_Ballfighter_21_Junior_Racket/descpageRCQBA-BBJ21R-EN.html
babolat b'fly 21 junior racquet,"[19.9, 22.95, 0]",,https://www.tenniswarehouse-europe.com/Babolat_BFly_21_Junior_Racket/descpageRCQBA-BBF21R-EN.html
lotto raptor hyperpulse 100 clay white/red men's shoes,"[144.89, 160.0, 0]",New,https://www.tenniswarehouse-europe.com/Lotto_Raptor_Hyperpulse_100_Clay_White_Red_Mens_Shoes/descpageMSLOTTOT-LMRHCWR-EN.html
kswiss ultrashot 3 white/neon green men's shoes,"[143.89, 179.99, 0]",,https://www.tenniswarehouse-europe.com/KSwiss_Ultrashot_3_White_Neon_Green_Mens_Shoes/descpageMSKSWISS-MKU3WNG-EN.html
nike air zoom gp turbo dark teal green/white men's shoe,"[124.91, 139.99, 0]",New,https://www.tenniswarehouse-europe.com/Nike_Air_Zoom_GP_Turbo_Dark_Teal_Green_White_Mens_Shoe/descpageMSNIKEH-NMZGTTG-EN.html
diadora speed blushield 4 clay white/black men's shoe,"[99.89, 140.0, 0]",Sale,https://www.tenniswarehouse-europe.com/Diadora_Speed_Blushield_4_Clay_White_Black_Mens_Shoe/descpageMSDIAT-DMSB4WB-EN.html
diadora speed competition 6 clay grey/yellow men's shoe,"[91.9, 115.0, 0]",,https://www.tenniswarehouse-europe.com/Diadora_Speed_Competition_6_Clay_Grey_Yellow_Mens_Shoe/descpageMSDIAT-DMSC6GY-EN.html
asics solution speed ff 2 clay black/white men's shoes,"[134.99, 150.0, 0]",Sale,https://www.tenniswarehouse-europe.com/Asics_Solution_Speed_FF_2_Clay_Black_White_Mens_Shoes/descpageMSASICSP-AMSSCBK-EN.html
asics solution speed ff 2 black/white men's shoes,"[134.99, 150.0, 0]",Sale,https://www.tenniswarehouse-europe.com/Asics_Solution_Speed_FF_2_Black_White_Mens_Shoes/descpageMSASICSP-AMSSFBK-EN.html
asics solution speed ff 2 clay white/black men's shoes,"[134.99, 150.0, 0]",Sale,https://www.tenniswarehouse-europe.com/Asics_Solution_Speed_FF_2_Clay_White_Black_Mens_Shoes/descpageMSASICSP-AMSSCWB-EN.html
adidas courtjam bounce clay black/white men's shoe,"[69.9, 80.0, 0]",Sale,https://www.tenniswarehouse-europe.com/adidas_CourtJam_Bounce_Clay_Black_White_Mens_Shoe/descpageMSADIT-AMCJCBW-EN.html
adidas courtjam bounce white/blue men's shoe,"[63.9, 80.0, 0]",Sale,https://www.tenniswarehouse-europe.com/adidas_CourtJam_Bounce_White_Blue_Mens_Shoe/descpageMSADIT-AMCJWBL-EN.html
adidas courtjam bounce yellow/black/white men's shoe,"[59.9, 80.0, 0]",,https://www.tenniswarehouse-europe.com/adidas_CourtJam_Bounce_Yellow_Black_White_Mens_Shoe/descpageMSADIT-AMCJYBW-EN.html
adidas courtjam bounce leather white men's shoe,"[54.89, 79.95, 0]",Sale,https://www.tenniswarehouse-europe.com/adidas_CourtJam_Bounce_Leather_White_Mens_Shoe/descpageMSADIT-AMCJLW-EN.html
babolat jet mach iii ac green/purple men's shoes,"[124.91, 140.0, 0]",New,https://www.tenniswarehouse-europe.com/Babolat_Jet_Mach_III_AC_Green_Purple_Mens_Shoes/descpageMSQBA-BMJM3GP-EN.html
head sprint pro 3.0 clay blue/red men's shoes,"[124.91, 150.0, 0]",,https://www.tenniswarehouse-europe.com/Head_Sprint_Pro_30_Clay_Blue_Red_Mens_Shoes/descpageMSHEAD-HMSP3BR-EN.html
babolat ballfighter 19 junior racquet,"[19.9, 22.95, 0]",,https://www.tenniswarehouse-europe.com/Babolat_Ballfighter_19_Junior_Racket/descpageRCQBA-BBJ19R-EN.html
babolat b'fly 19 junior racquet,"[19.9, 22.95, 0]",,https://www.tenniswarehouse-europe.com/Babolat_BFly_19_Junior_Racket/descpageRCQBA-BBF19R-EN.html
babolat ballfighter 17 junior racquet,"[21.9, 22.95, 0]",,https://www.tenniswarehouse-europe.com/Babolat_Ballfighter_17_Junior_Racket/descpageRCQBA-BBJ17R-EN.html
lotto mirage 100 clay blue/navy men's shoes,"[134.9, 150.0, 0]",New,https://www.tenniswarehouse-europe.com/Lotto_Mirage_100_Clay_Blue_Navy_Mens_Shoes/descpageMSLOTTOT-LMM1CBN-EN.html
lotto mirage 300 clay yellow men's shoes,"[59.9, 90.0, 0]",Sale,https://www.tenniswarehouse-europe.com/Lotto_Mirage_300_Clay_Yellow_Mens_Shoes/descpageLOTTOT-LMM3CY-EN.html
lotto mirage 100 spd blue/navy men's shoes,"[134.9, 150.0, 0]",New,https://www.tenniswarehouse-europe.com/Lotto_Mirage_100_SPD_Blue_Navy_Mens_Shoes/descpageMSLOTTOT-LMM1SBN-EN.html
kswiss bigshot light 4 black/neon green men's shoes,"[79.91, 109.99, 0]",,https://www.tenniswarehouse-europe.com/KSwiss_Bigshot_Light_4_Black_Neon_Green_Mens_Shoes/descpageMSKSWISS-MKBL4BN-EN.html
k-swiss express light 2 white/blue men's shoes,"[99.89, 119.9, 0]",,https://www.tenniswarehouse-europe.com/K-Swiss_Express_Light_2_White_Blue_Mens_Shoes/descpageMSKSWISS-KSMEL2W-EN.html
kswiss hypercourt express 2 clay black/blue men's shoes,"[111.9, 139.99, 0]",,https://www.tenniswarehouse-europe.com/KSwiss_Hypercourt_Express_2_Clay_Black_Blue_Mens_Shoes/descpageMSKSWISS-MKHE2SS-EN.html
